中国国际航空公司,CA
中国北方航空公司,CJ
中国南方航空公司,CZ
中国西南航空公司,SZ
中国西北航空公司,WH
东方航空公司,MU
中国东方航空公司,MU
厦门航空公司,MF
中国厦门航空公司,MF
山东航空公司,SC
中国山东航空公司,SC
上海航空公司,FM
中国上海航空公司,FM
深圳航空公司,ZH
中国深圳航空公司,ZH
中国新华航空公司,X2
幸福航空责任有限公司,JR
幸福航空公司,JR
中国幸福航空公司,JR
中国幸福航空责任有限公司,JR
中国航空股份公司,F6
云南航空公司,3Q
中国云南航空公司,3Q
新疆航空公司,XO
中国新疆航空公司,XO
四川航空公司,3U
中国四川航空公司,3U
中原航空公司,Z2
中国中原航空公司,Z2
武汉航空公司,WU
中国武汉航空公司,WU
贵州航空公司,G4
中国贵州航空公司,G4
海南航空公司,HU
中国海南航空公司,HU
中国通用航空公司,GP
通用航空公司,GP
南京航空公司,3W
中国南京航空公司,3W
浙江航空公司,ZJ
中国浙江航空公司,ZJ
长城航空公司,GW
中国长城航空公司,GW
福建航空公司,FJ
中国福建航空公司,FJ
长安航空公司,2Z
中国长安航空公司,2Z
浙江长龙航空公司,GJ
长龙航空公司,GJ
中国长龙航空公司,GJ
中国浙江长龙航空公司,GJ
首都航空公司,JD
中国首都航空公司,JD
上海吉祥航空公司,HO
春秋航空公司,9C
中国春秋航空公司,9C
天津航空公司,GS
中国天津航空公司,GS
港龙航空公司,KA
九元航空公司,AQ
中国港龙航空公司,KA
大韩航空公司,KE
韩亚航空公司,OZ
日本航空公司,JL
全日空公司,NH
新加坡航空公司,SQ
泰国国际航空公司,TG
美国西北航空公司,NW
加拿大国际航空公司,AC
美国联合航空公司,UA
英国航空公司,BA
荷兰皇家航空公司,KL
德国汉莎航空公司,LH
法国航空公司,AF
瑞士航空公司,SR
奥地利航空公司,OS
俄罗斯国际航空公司,SU
澳洲航空公司,QF
芬兰航空公司,AY
意大利航空公司,AZ
斯堪的纳维亚（北欧）航空公司,SK
文莱皇家航空公司,BI
印度尼西亚鹰航空公司,GA
新加坡胜安航空公司,MI
马来西亚航空公司,MH
埃塞俄比亚航空公司,ET
美国长青国际航空公司,EZ
波兰航空公司,LO
罗马尼亚航空公司,RO
乌兹别克斯坦航空公司,HY
伏尔加第聂伯航空公司,VI
乌克兰航空公司,UKR
哈萨克斯坦航空公司,K4
蒙古航空公司,OM
巴基斯坦国际航空公司,PK
菲利宾航空公司,PR
尼泊尔王家航空公司,RA
伊朗航空公司,IR
日本航空系统株氏会航空公司,JD
朝鲜航空公司,JS
以色列航空公司,LY
澳门航空公司,NX
缅甸国际航空公司,UB
越南航空公司,VN
国泰航空公司,CX
